lugar
""
"Bogotá,Distrito Capital"
"Medellín,Antioquia"
"Cali,Valle del Cauca"
"Barranquilla,Atlántico"
"Cartagena,Bolívar"
"Soacha,Cundinamarca"
"Cúcuta,Norte de Santander"
"Soledad,Atlántico"
"Bucaramanga,Santander"
"Bello,Antioquia"
"Valledupar,Cesar"
"Villavicencio,Meta"
"Santa Marta,Magdalena"
"Ibagué,Tolima"
"Montería,Córdoba"
"Pereira,Risaralda"
"Manizales,Caldas"
"Pasto,Nariño"
"Neiva,Huila"
"Palmira,Valle del Cauca"
"Popayán,Cauca"
"Buenaventura,Valle del Cauca"
"Armenia,Quindío"
"Floridablanca,Santander"
"Sincelejo,Sucre"
"Itagüí,Antioquia"
"Tumaco,Nariño"
"Envigado,Antioquia"
"Dosquebradas,Risaralda"
"Tuluá,Valle del Cauca"
"Barrancabermeja,Santander"
"Riohacha,La Guajira"
""
"Uribia,La Guajira"
"Maicao,La Guajira"
"Piedecuesta,Santander"
"Tunja,Boyacá"
"Yopal,Casanare"
"Florencia,Caquetá"
"Girón,Santander"
"Facatativá,Cundinamarca"
"Jamundí,Valle del Cauca"
"Fusagasugá,Cundinamarca"
"Mosquera,Cundinamarca"
"Chía,Cundinamarca"
"Zipaquirá,Cundinamarca"
"Rionegro,Antioquia"
"Malambo,Atlántico"
"Magangué,Bolívar"
"Madrid,Cundinamarca"
"Cartago,Valle del Cauca"
"Turbo,Antioquia"
"Quibdó,Chocó"
"Apartadó,Antioquia"
"Sogamoso,Boyacá"
"Ocaña,Norte de Santander"
"Pitalito,Huila"
"Buga,Valle del Cauca"
"Duitama,Boyacá"
"Ciénaga,Magdalena"
"Aguachica,Cesar"
"Girardot,Cundinamarca"
"Lorica,Córdoba"
"Turbaco,Bolívar"
"Ipiales,Nariño"
"Funza,Cundinamarca"
"Santander de Quilichao,Cauca"
"Villa del Rosario,Norte de Santander"
"Sahagún,Córdoba"
"Yumbo,Valle del Cauca"
"Cereté,Córdoba"
"Sabanalarga,Atlántico"
"Cajicá,Cundinamarca"
"Arauca,Arauca"
""
"Caucasia,Antioquia"
"Los Patios,Norte de Santander"
"Manaure,La Guajira"
"Tierralta,Córdoba"
"Candelaria,Valle del Cauca"
"Acacías,Meta"
"Sabaneta,Antioquia"
"Montelíbano,Córdoba"
"Caldas,Antioquia"
"Copacabana,Antioquia"
"Cumaribo,Vichada"
